,,,
API Name,UI Name,Description,
adFormat,Ad format,"Describes the way ads looked and where they were located. Typical formats include Interstitial, Banner, Rewarded, and Native advanced.",Donate
adSourceName,Ad source,"The source network that served the ad. Typical sources include AdMob Network, Liftoff, Facebook Audience Network, and Mediated house ads.",
adUnitName,Ad unit,The name you chose to describe this Ad unit. Ad units are containers you place in your apps to show ads to users.,
brandingInterest,Interests,"Interests demonstrated by users who are higher in the shopping funnel. Users can be counted in multiple interest categories. For example, Shoppers, Lifestyles & Hobbies/Pet Lovers, or Travel/Travel Buffs/Beachbound Travelers.",
browser,Browser,The browsers used to view your website.,
campaignId,Campaign ID,"The identifier of the marketing campaign. Present only for key events. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns.",
campaignName,Campaign,"The name of the marketing campaign. Present only for key events. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns.",
city,City,The city from which the user activity originated.,
country,Country,The country from which the user activity originated.,
currencyCode,Currency,"The local currency code (based on ISO 4217 standard) of the eCommerce event. For example, USD or GBP. Currency is specified in tagging by the currency parameter. Businesses that transact in more than one currency can specify a local currency code when sending eCommerce events to Analytics, and this dimension shows those currencies. To Learn more, See Currency reference.",
date,Date,"The date of the event, formatted as YYYYMMDD.",
day,Day,"The day of the month, a two-digit number from 01 to 31.",
dayOfWeek,Day of week,The integer day of the week. It returns values in the range 0 to 6 with Sunday as the first day of the week.,
defaultChannelGroup,Default channel group,"The key event's default channel group is based primarily on source and medium. An enumeration which includes Direct, Organic Search, Paid Social, Organic Social, Email, Affiliates, Referral, Paid Search, Video, and Display.",
deviceCategory,Device category,"The type of device: Desktop, Tablet, or Mobile.",
deviceModel,Device model,"The mobile device model (example: iPhone 10,6).",
eventName,Event name,The name of the event.,
firstUserCampaignName,First user campaign,"Name of the marketing campaign that first acquired the user. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns.",
firstUserGoogleAdsAdGroupName,First user Google Ads ad group name,The Ad Group Name in Google Ads that first acquired the user.,
