API Name,UI Name,Description
active1DayUsers,1-day active users,The number of distinct active users on your site or app within a 1 day period. The 1 day period includes the last day in the report's date range. Note: this is the same as Active Users.
active28DayUsers,28-day active users,The number of distinct active users on your site or app within a 28 day period. The 28 day period includes the last day in the report's date range.
active7DayUsers,7-day active users,The number of distinct active users on your site or app within a 7 day period. The 7 day period includes the last day in the report's date range.
activeUsers,Active users,The number of distinct users who visited your site or app.
adUnitExposure,Ad unit exposure,"The time that an ad unit was exposed to a user, in milliseconds."
addToCarts,Add to carts,The number of times users added items to their shopping carts.
advertiserAdClicks,Ads clicks,Total number of times users have clicked on an ad to reach the property. Includes clicks from linked integrations like linked Search Ads 360 advertisers. Also includes uploaded clicks from data import.
advertiserAdCost,Ads cost,"The total amount you paid for your ads. Includes costs from linked integrations like linked Google Ads accounts. Also includes uploaded cost from data import; to learn more, see Import cost data."
advertiserAdCostPerClick,Ads cost per click,Ads cost per click is ad cost divided by ad clicks and is often abbreviated CPC.
advertiserAdCostPerKeyEvent,Cost per key event,Cost per key event is ad cost divided by key events.
advertiserAdImpressions,Ads impressions,The total number of impressions. Includes impressions from linked integrations like linked Display & Video 360 advertisers. Also includes uploaded impressions from data import.
averagePurchaseRevenue,Average purchase revenue,The average purchase revenue in the transaction group of events.
averagePurchaseRevenuePerPayingUser,ARPPU,Average revenue per paying user (ARPPU) is the total purchase revenue per active user that logged a purchase event. The summary metric is for the time period selected.
averagePurchaseRevenuePerUser,ess,The average purchase revenue per active user is the total purchase revenue per active user that logged any event. The summary metric is for the time period selected.
averageRevenuePerUser,ARPU,Average revenue per active user (ARPU). The summary metric is for the time period selected. ARPU uses Total Revenue and includes AdMob estimated earnings.
averageSessionDuration,Average session duration,The average duration (in seconds) of users` sessions.
bounceRate,Bounce rate,"The percentage of sessions that were not engaged ((Sessions Minus Engaged sessions) divided by Sessions). This metric is returned as a fraction; for example, 0.2761 means 27.61% of sessions were bounces."
cartToViewRate,Cart-to-view rate,"The number of users who added a product(s) to their cart divided by the number of users who viewed the same product(s). This metric is returned as a fraction; for example, 0.1132 means 11.32% of users who viewed a product also added the same product to their cart."
checkouts,Checkouts,The number of times users started the checkout process. This metric counts the occurrence of the begin_checkout event.
cohortActiveUsers,Cohort active users,"The number of users in the cohort who are active in the time window corresponding to the cohort nth day/week/month. For example in the row where cohortNthWeek = 0001, this metric is the number of users (in the cohort) who are active in week 1."
cohortTotalUsers,Cohort total users,"The total number of users in the cohort. This metric is the same value in every row of the report for each cohort. Because cohorts are defined by a shared acquisition date, cohortTotalUsers is the same as cohortActiveUsers for the cohort's selection date range. For report rows later than the cohort's selection range, it is typical for cohortActiveUsers to be smaller than cohortTotalUsers. This difference represents users from the cohort that were not active for the later date. cohortTotalUsers is commonly used in the metric expression cohortActiveUsers/cohortTotalUsers to compute a user retention fraction for the cohort. The relationship between activeUsers and totalUsers is not equivalent to the relationship between cohortActiveUsers and cohortTotalUsers."
crashAffectedUsers,Crash-affected users,"The number of users that logged a crash in this row of the report. For example if the report is time series by date, this metrics reports total users with at least one crash on this date. Crashes are events with the name ""app_exception""."
crashFreeUsersRate,Crash-free users rate,"The number of users without crash events (in this row of the report) divided by the total number of users. This metric is returned as a fraction; for example, 0.9243 means 92.43% of users were crash-free."
dauPerMau,DAU / MAU,"The rolling percent of 30-day active users who are also 1-day active users. This metric is returned as a fraction; for example, 0.113 means 11.3% of 30-day active users were also 1-day active users."
dauPerWau,DAU / WAU,"The rolling percent of 7-day active users who are also 1-day active users. This metric is returned as a fraction; for example, 0.082 means 8.2% of 7-day active users were also 1-day active users."
ecommercePurchases,Ecommerce purchases,The number of times users completed a purchase. This metric counts purchase events; this metric does not count in_app_purchase and subscription events.
engagedSessions,Engaged sessions,"The number of sessions that lasted longer than 10 seconds, or had a key event, or had 2 or more screen views."
engagementRate,Engagement rate,"The percentage of engaged sessions (Engaged sessions divided by Sessions). This metric is returned as a fraction; for example, 0.7239 means 72.39% of sessions were engaged sessions."
